Webbadress,Svarskod,Fel i Google Nyheter,Upptäcktes,Kategori,Plattform,Genomsöktes senast
https://seb.se/pow/content/seb_lt/IS2/Dokumentas_2.pdf,404,,2018-03-27,Hittades inte,Desktop,2018-10-25
https://seb.se/privat/private-banking/stiftelser/ansok-om-stipendium/bengta-och-ludvig-berthelsens-stiftelse,404,,2018-02-04,Hittades inte,Desktop,2018-10-19
https://seb.se/privat/spara-och-placera/fonder/om-fondbolaget-seb-im-ab/intressekonflikter,404,,2018-02-08,Hittades inte,Desktop,2018-10-30
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970127.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-25
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970128.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-25
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970109.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-25
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970131.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-25
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970116.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970117.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/kampanjer/behovsguiden/ExternalData.xml,404,,2018-01-29,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970120.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-25
https://seb.se/privat/spara-och-placera/andra-som-du,404,,2018-09-20,Hittades inte,Desktop,2018-10-25
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970107.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970102.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970124.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-25
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970110.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-25
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970123.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-25
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970129.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-25
https://seb.se/pow/wcp/gyllenberg.asp?lang=en&website=Private+Banking,404,,2018-02-03,Hittades inte,Desktop,2018-10-28
https://seb.se/kundservice/juridik-sakerhet/sebs-integritetspolicy/information-om-pension-och-forsakring-abs-behandling-av-personuppgifter,404,,2018-10-02,Hittades inte,Desktop,2018-10-29
https://seb.se/kundservice/kundservice-foretag/boka-radgivning,404,,2017-01-15,Hittades inte,Desktop,2018-10-14
https://seb.se/pow/apps/bolan/Bostadsratt.htm?price=1800000&livingcost=0&leaseholdersrent=0&assesedvalue=0&fee=0,404,,2018-06-28,Hittades inte,Desktop,2018-10-28
https://seb.se/pow/content/ikfdemo/kgb1102_kontoinfo.htm,404,,2018-02-21,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/wcp/sebgroup.asp?website=TAB3&lang=se,404,,2018-05-19,Hittades inte,Desktop,2018-10-30
https://seb.se/kundservice/juridik-sakerhet/sebs-integritetspolicy/information-om-gamla-livforsakringsaktiebolaget-seb-trygg-liv-publs-behandling-av-personuppgifter,404,,2018-10-09,Hittades inte,Desktop,2018-10-19
https://seb.se/kunderbjudanden/tennisveckorna/kartor/boende/malens-strandpensionat,410,,2018-04-05,Hittades inte,Desktop,2018-10-31
https://seb.se/internetkontoret/help/3000/3100/wowh3191false.htm,404,,2018-03-31,Hittades inte,Desktop,2018-10-18
https://seb.se/pow/content/pdf/xxlapril15.pdf,404,,2017-09-13,Hittades inte,Desktop,2018-10-27
https://seb.se/privat/spara-och-placera/fonder/fonders-nyheter/sebse/Hidden-pages/Archive/fonder-stangda-for-handel-i-september,404,,2018-03-30,Hittades inte,Desktop,2018-10-17
https://seb.se/kundservice/alla-produkter-och-tjanster/portfolio-bond-direktpension,410,,2018-08-20,Hittades inte,Desktop,2018-10-18
https://seb.se/pow/wcp/filedownload.asp?file=DUID_A43CBCF392D3C08BC1257B860029E042_valfardbarometern_2013.pdf,404,,2018-06-10,Hittades inte,Desktop,2018-10-24
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970121.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/kort/se/cobrand/nk/PN0W_kontovillkor_PM2820.pdf,404,,2018-04-17,Hittades inte,Desktop,2018-10-19
https://seb.se/landing-page-test/stark-tillvaxt-inom-hallbara-investeringar,404,,2018-04-13,Hittades inte,Desktop,2018-10-05
https://seb.se/pow/wcp/sebgroup.asp?lang=en,404,,2017-06-17,Hittades inte,Desktop,2018-10-30
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970103.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970130.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970113.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-25
https://seb.se/pow/fonder/Kurser/txtfil_hist/19970114.txt,404,,2018-06-26,Hittades inte,Desktop,2018-10-25
https://seb.se/pow/apps/ringmignu/callmew.aspx?c=212,404,,2018-07-17,Hittades inte,Desktop,2018-10-30
https://seb.se/pow/wcp/templates/sebarticle.cfmc.asp?DUID=DUID_62C0A4F4D43258D1C1257D0A00386A3A&sitekey=seb.se&lang=se,404,,2018-03-31,Hittades inte,Desktop,2018-10-21
https://seb.se/pow/wcp/templates/sebarticle.cfmc.asp?DUID=DUID_8680C220FB53AE69C12573FE004B1858&xsl=se/sebarticle.xsl&sitekey=&lang=se,404,,2018-04-05,Hittades inte,Desktop,2018-10-31
https://seb.se/pow/wcp/index,404,,2017-10-12,Hittades inte,Desktop,2018-10-29
https://seb.se/pow/wcp/sebno.asp?ss=/pow/wcp/templates/sebarticle.cfmc.asp%3FDUID%3DDUID_F53C34E799356DFDC1257781004E71BC%26xsl%3Dno%26sitekey%3Dseb.no%26lang%3Dno,404,,2018-03-30,Hittades inte,Desktop,2018-10-20
https://seb.se/pow/content/seb_lt/pdf/lt/igalioti_atstovai.pdf,404,,2018-08-02,Hittades inte,Desktop,2018-10-20
https://seb.se/pow/wcp/templates/sebarticle.cfmc.asp?DUID=DUID_91950C6B362E1DB4C125775F002BE663&sitekey=seb.no&lang=no,404,,2018-03-31,Hittades inte,Desktop,2018-10-28
https://seb.se/kundservice/kundservice-foretag/vanliga-fragor-och-svar/sebse/Hidden-pages/Archive/fragor-och-svar-om-e-handelspaketet,404,,2017-03-06,Hittades inte,Desktop,2018-10-18
https://seb.se/pow/wcp/templates/sebarticle.cfmc.asp?DUID=DUID_F6EEEBBEBB63A32CC1257A6000359A87&xsl=sebarticle.xsl&controlleraction=&lang=en,404,,2018-04-14,Hittades inte,Desktop,2018-10-31
https://seb.se/privat/lana/bolan-och-rantor/bolan/sebse/Hidden-pages/Archive/bolanekalkylatorn,404,,2018-08-08,Hittades inte,Desktop,2018-10-19
https://seb.se/privat/spara-och-placera/spara-i-fonder/fonders-nyheter/sebse/Hidden-pages/Archive/fonder-stangda-for-handel-i-oktober,404,,2018-05-21,Hittades inte,Desktop,2018-10-29
https://seb.se/bolagsdagen,404,,2017-08-31,Hittades inte,Desktop,2018-10-31
https://seb.se/pow/content/fonder/fonder_pdf/bankhelgdagar_juni_2016.pdf;Juni,404,,2018-05-16,Hittades inte,Desktop,2018-10-16
https://seb.se/pow/wcp/templates/sebcollection.cfmc.asp?DUID=DUID_8B15592D5B68E749C125783E003489A8&sitekey=seb.se,404,,2018-04-17,Hittades inte,Desktop,2018-10-06
https://seb.se/pow/wcp/templates/sebarticle.cfmc.asp?DUID=DUID_0EC50789BBD20CA0C1257466004ADE75&xsl=uk/sebarticle.xsl&sitekey=seb.ua&lang=uk,404,,2018-04-04,Hittades inte,Desktop,2018-10-15
https://seb.se/pow/wcp/templates/sebcollection.cfmc.asp?DUID=DUID_62A5D2663187AE1FC1256FE2004C869C&xsl=dk&sitekey=sebprivatbanking.com_sv,404,,2018-04-14,Hittades inte,Desktop,2018-10-13
https://seb.se/pow/wcp/templates/sebarticle.cfmc.asp?DUID=DUID_6A97266A350AF526C12577B50044F1AE&sitekey=seb.se&lang=,404,,2018-04-10,Hittades inte,Desktop,2018-10-07
https://seb.se/pow/wcp/templates/sebarticle.cfmc.asp?DUID=DUID_B65A59252939D83DC125752400540CC6&xsl=sebarticle.xsl&controlleraction=&lang=se&t=welcome,404,,2018-03-30,Hittades inte,Desktop,2018-10-19
https://seb.se/pow/wcp/templates/sebarticle.cfmc.asp?DUID=DUID_734B925511B8A803C1257952002CCE55&sitekey=seb.ua&lang=uk,404,,2018-04-08,Hittades inte,Desktop,2018-10-06
https://seb.se/foretag/bli-foretagskund/starta-eget/framgangssagor?adg=framgang&cmpid=google_framgang_ad_cpc_retailf,404,,2018-10-13,Hittades inte,Desktop,2018-10-17
https://seb.se/pow/wcp/filedownload.asp?file=DUID_D7F3318F1BFCCC22C125724C0035429B_RTO3017.pdf&controlleraction=&sitekey=seb.se,404,,2018-03-27,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/wcp/templates/sebarticle.cfmc.asp?DUID=DUID_47A281EB8279BE3BC12574BE003D3102&sitekey=seb.se,404,,2018-04-09,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/wcp/templates/sebarticle.cfmc.asp?DUID=DUID_4FB345094A562233C12578570059D32E&xsl=sebarticle.xsl&controlleraction=&lang=en,404,,2018-04-13,Hittades inte,Desktop,2018-10-19
https://seb.se/pow/content/seb_lt/pdf/lt/AB_SEB_lizingas_finansines_ataskaitos_2012_lt.pdf,404,,2018-05-19,Hittades inte,Desktop,2018-10-12
https://seb.se/pow/wcp/filedownload.asp?file=DUID_AEBBE5B6D6758F7FC125786C0037B135_MMF_Mar_ukr.pdf&sitekey=seb.ua&lang=uk,404,,2018-04-11,Hittades inte,Desktop,2018-10-08
